id,surahNumber,verseNumber,page,juz,hizb
v2_180,2,180,27,2,3.6
v2_181,2,181,27,2,3.6
v2_182,2,182,28,2,3.7
v2_183,2,183,28,2,3.7
v2_184,2,184,28,2,3.7
v2_185,2,185,28,2,3.7
v2_186,2,186,28,2,3.7
v2_187,2,187,29,2,3.8
v2_188,2,188,29,2,3.8
v2_189,2,189,29,2,3.8
v2_190,2,190,29,2,3.8
v2_191,2,191,30,2,3.9
v2_192,2,192,30,2,3.9
v2_193,2,193,30,2,3.9
v2_194,2,194,30,2,3.9
v2_195,2,195,30,2,3.9
v2_196,2,196,30,2,3.9
v2_197,2,197,31,2,4.0
v2_198,2,198,31,2,4.0
v2_199,2,199,31,2,4.0
v2_200,2,200,31,2,4.0
v2_201,2,201,31,2,4.0
v2_202,2,202,31,2,4.0
v2_203,2,203,32,2,4.1
v2_204,2,204,32,2,4.1
v2_205,2,205,32,2,4.1
v2_206,2,206,32,2,4.1
v2_207,2,207,32,2,4.1
v2_208,2,208,32,2,4.1
v2_209,2,209,32,2,4.1
v2_210,2,210,32,2,4.1
v2_211,2,211,33,2,4.2
v2_212,2,212,33,2,4.2
v2_213,2,213,33,2,4.2
v2_214,2,214,33,2,4.2
v2_215,2,215,33,2,4.2
v2_216,2,216,34,2,4.3
v2_217,2,217,34,2,4.3
v2_218,2,218,34,2,4.3
v2_219,2,219,34,2,4.3
v2_220,2,220,35,2,4.4
v2_221,2,221,35,2,4.4
v2_222,2,222,35,2,4.4
v2_223,2,223,35,2,4.4
v2_224,2,224,35,2,4.4
v2_225,2,225,36,2,4.5
v2_226,2,226,36,2,4.5
v2_227,2,227,36,2,4.5
v2_228,2,228,36,2,4.5
v2_229,2,229,36,2,4.5
v2_230,2,230,36,2,4.5
v2_231,2,231,37,2,4.6
v2_232,2,232,37,2,4.6
v2_233,2,233,37,2,4.6
v2_234,2,234,38,2,4.7
v2_235,2,235,38,2,4.7
v2_236,2,236,38,2,4.7
v2_237,2,237,38,2,4.7
v2_238,2,238,39,2,4.8
v2_239,2,239,39,2,4.8
v2_240,2,240,39,2,4.8
v2_241,2,241,39,2,4.8
v2_242,2,242,39,2,4.8
v2_243,2,243,39,2,4.8
v2_244,2,244,39,2,4.8
v2_245,2,245,39,2,4.8
v2_246,2,246,40,2,4.9
v2_247,2,247,40,2,4.9
v2_248,2,248,40,2,4.9
v2_249,2,249,41,3,5.0
v2_250,2,250,41,3,5.0
v2_251,2,251,41,3,5.0
v2_252,2,252,41,3,5.0
v2_253,2,253,42,3,5.1
v2_254,2,254,42,3,5.1
v2_255,2,255,42,3,5.1
v2_256,2,256,42,3,5.1
v2_257,2,257,43,3,5.2
v2_258,2,258,43,3,5.2
v2_259,2,259,43,3,5.2
v2_260,2,260,44,3,5.3
v2_261,2,261,44,3,5.3
v2_262,2,262,44,3,5.3
v2_263,2,263,44,3,5.3
v2_264,2,264,44,3,5.3
v2_265,2,265,45,3,5.4
v2_266,2,266,45,3,5.4
v2_267,2,267,45,3,5.4
v2_268,2,268,45,3,5.4
v2_269,2,269,45,3,5.4
v2_270,2,270,46,3,5.5
v2_271,2,271,46,3,5.5
v2_272,2,272,46,3,5.5
v2_273,2,273,46,3,5.5
v2_274,2,274,46,3,5.5
v2_275,2,275,47,3,5.6
v2_276,2,276,47,3,5.6
v2_277,2,277,47,3,5.6
v2_278,2,278,47,3,5.6
v2_279,2,279,47,3,5.6
v2_280,2,280,47,3,5.6
v2_281,2,281,47,3,5.6
v2_282,2,282,48,3,5.7
v2_283,2,283,49,3,5.8
v2_284,2,284,49,3,5.8
v2_285,2,285,49,3,5.8
v2_286,2,286,49,3,5.8
v3_1,3,1,50,3,5.9
v3_2,3,2,50,3,5.9
v3_3,3,3,50,3,5.9
v3_4,3,4,50,3,5.9
v3_5,3,5,50,3,5.9
v3_6,3,6,50,3,5.9
v3_7,3,7,50,3,5.9
v3_8,3,8,50,3,5.9
v3_9,3,9,50,3,5.9
v3_10,3,10,51,3,6.0
v3_11,3,11,51,3,6.0
v3_12,3,12,51,3,6.0
v3_13,3,13,51,3,6.0
v3_14,3,14,51,3,6.0
v3_15,3,15,51,3,6.0
v3_16,3,16,52,3,6.1
v3_17,3,17,52,3,6.1
v3_18,3,18,52,3,6.1
v3_19,3,19,52,3,6.1
v3_20,3,20,52,3,6.1
v3_21,3,21,52,3,6.1
v3_22,3,22,52,3,6.1
v3_23,3,23,53,3,6.2
v3_24,3,24,53,3,6.2
v3_25,3,25,53,3,6.2
v3_26,3,26,53,3,6.2
v3_27,3,27,53,3,6.2
v3_28,3,28,53,3,6.2
v3_29,3,29,53,3,6.2
v3_30,3,30,54,3,6.3
v3_31,3,31,54,3,6.3
v3_32,3,32,54,3,6.3
v3_33,3,33,54,3,6.3
v3_34,3,34,54,3,6.3
v3_35,3,35,54,3,6.3
v3_36,3,36,54,3,6.3
v3_37,3,37,54,3,6.3
v3_38,3,38,55,3,6.4
v3_39,3,39,55,3,6.4
v3_40,3,40,55,3,6.4
v3_41,3,41,55,3,6.4
v3_42,3,42,55,3,6.4
v3_43,3,43,55,3,6.4
v3_44,3,44,55,3,6.4
v3_45,3,45,55,3,6.4
v3_46,3,46,56,3,6.5
v3_47,3,47,56,3,6.5
v3_48,3,48,56,3,6.5
v3_49,3,49,56,3,6.5
v3_50,3,50,56,3,6.5
v3_51,3,51,56,3,6.5
v3_52,3,52,56,3,6.5
v3_53,3,53,57,3,6.6
v3_54,3,54,57,3,6.6
v3_55,3,55,57,3,6.6
v3_56,3,56,57,3,6.6
v3_57,3,57,57,3,6.6
v3_58,3,58,57,3,6.6
v3_59,3,59,57,3,6.6
v3_60,3,60,57,3,6.6
v3_61,3,61,57,3,6.6
v3_62,3,62,58,3,6.7
v3_63,3,63,58,3,6.7
v3_64,3,64,58,3,6.7
v3_65,3,65,58,3,6.7
v3_66,3,66,58,3,6.7
v3_67,3,67,58,3,6.7
v3_68,3,68,58,3,6.7
v3_69,3,69,58,3,6.7
v3_70,3,70,58,3,6.7
v3_71,3,71,59,3,6.8
v3_72,3,72,59,3,6.8
v3_73,3,73,59,3,6.8
v3_74,3,74,59,3,6.8
v3_75,3,75,59,3,6.8
v3_76,3,76,59,3,6.8
v3_77,3,77,59,3,6.8
v3_78,3,78,60,3,6.9
v3_79,3,79,60,3,6.9
v3_80,3,80,60,3,6.9
v3_81,3,81,60,3,6.9
v3_82,3,82,60,3,6.9
v3_83,3,83,60,3,6.9
v3_84,3,84,60,3,6.9
v3_85,3,85,60,3,6.9
v3_86,3,86,61,4,7.0
v3_87,3,87,61,4,7.0
v3_88,3,88,61,4,7.0
v3_89,3,89,61,4,7.0
v3_90,3,90,61,4,7.0
v3_91,3,91,61,4,7.0
v3_92,3,92,62,4,7.1
v3_93,3,93,62,4,7.1
v3_94,3,94,62,4,7.1
v3_95,3,95,62,4,7.1
v3_96,3,96,62,4,7.1
v3_97,3,97,62,4,7.1
v3_98,3,98,62,4,7.1
v3_99,3,99,62,4,7.1
v3_100,3,100,62,4,7.1
v3_101,3,101,63,4,7.2
v3_102,3,102,63,4,7.2
v3_103,3,103,63,4,7.2
v3_104,3,104,63,4,7.2
v3_105,3,105,63,4,7.2
v3_106,3,106,63,4,7.2
v3_107,3,107,63,4,7.2
v3_108,3,108,63,4,7.2
v3_109,3,109,64,4,7.3
v3_110,3,110,64,4,7.3
v3_111,3,111,64,4,7.3
v3_112,3,112,64,4,7.3
v3_113,3,113,64,4,7.3
v3_114,3,114,64,4,7.3
v3_115,3,115,64,4,7.3
v3_116,3,116,65,4,7.4
v3_117,3,117,65,4,7.4
